반전향,과장,왕규용,B,10,4000000,11716
구승홍,부장,심슬린,B,21,6000000,11730
오단범,과장,기마무,B,11,4000000,11204
송욱경,부장,한회번,B,18,6000000,11840
진춘빈,인턴,오무솔,B,30,2100000,10679
민황효,부장,기원요,B,20,6000000,11525
길휴달,과장,차무중,B,8,4000000,11372
우라창,부장,육노박,B,18,6000000,11070
소래충,사원,전란탁,B,3,2800000,10974
추천루,대리,성태수,B,6,3200000,10313
김보세,인턴,주경흔,B,30,2100000,10655
지만산,대리,방잔명,B,5,3200000,11019
연박익,사원,강효환,B,3,2800000,11635
표나길,인턴,남선곤,B,30,2100000,10728
남윤선,사원,서여만,B,1,2800000,11791
기을빈,대리,백훈곤,B,7,3200000,10504
공화흔,과장,백규반,B,9,4000000,11023
노한제,부장,채현추,B,18,6000000,11398
남걸복,부장,차랑은,B,19,6000000,11391
방서열,인턴,모충노,B,30,2100000,11007
성덕실,과장,마다춘,B,11,4000000,10621
반구민,과장,문열용,B,10,4000000,10719
양바배,차장,윤박봉,B,12,5000000,10883
류관세,인턴,주직호,B,30,2100000,10812
은양성,과장,장수가,B,11,4000000,10066
기오철,인턴,권찬온,B,30,2100000,10229
염건식,차장,고주용,B,14,5000000,11531
오봉요,사원,차산제,B,2,2800000,11376
명안명,과장,육섭호,B,10,4000000,11206
손숙반,부장,모중세,B,20,6000000,10675
문로별,차장,신직곤,B,13,5000000,10592
안은만,차장,주석익,B,12,5000000,11462
송슬학,부장,남영명,B,18,6000000,11111
변익노,대리,차병치,B,6,3200000,10148
남용황,과장,선박개,B,11,4000000,11394
심남충,사원,탁루예,B,1,2800000,11124
서래번,인턴,채비리,B,30,2100000,11553
금초운,과장,구견곤,B,8,4000000,10459
구비탁,사원,탁사치,B,1,2800000,11321
연준길,인턴,강로번,B,30,2100000,11395
차래중,인턴,연홍바,B,30,2100000,10842
백재학,인턴,표판초,B,30,2100000,10280
표삼라,사원,문환승,B,2,2800000,11722
여로소,대리,홍준현,B,6,3200000,10072
원강루,과장,전출랑,B,9,4000000,10540
기실오,대리,길춘곤,B,5,3200000,11476
맹후탁,대리,차단견,B,6,3200000,11163
우욱예,대리,노초루,B,5,3200000,11293
표희홍,과장,반상실,B,9,4000000,11540
설직윤,대리,명진걸,B,4,3200000,10250
이주충,과장,전근복,B,11,4000000,11293
하여아,부장,송숭을,B,18,6000000,10793
마반윤,대리,구지달,B,7,3200000,11350
정형덕,차장,정정번,B,15,5000000,11584
권효소,부장,차서영,B,17,6000000,11714
도가제,대리,맹권월,B,6,3200000,11714
지보월,인턴,방량솔,B,30,2100000,10835
배흔봉,과장,명재란,B,10,4000000,10212
천안길,대리,차희경,B,4,3200000,11290
안반대,사원,모숙봉,B,2,2800000,10256
노중섭,인턴,유누비,B,30,2100000,10048
이휘덕,인턴,박승은,B,30,2100000,11226
마손남,사원,황전란,B,3,2800000,11978
서강나,대리,진도술,B,5,3200000,11029
한원우,사원,조솜명,B,1,2800000,11871
은실중,사원,홍휘회,B,1,2800000,11026
진엄만,부장,구율덕,B,17,6000000,10016
권애래,대리,송유태,B,6,3200000,11109
송강성,인턴,진형휘,B,30,2100000,10510
표웅마,부장,곽창곤,B,17,6000000,10900
진강완,사원,하춘슬,B,1,2800000,11327
최을창,인턴,설황상,B,30,2100000,10222
남정진,인턴,남비우,B,30,2100000,10399
남백이,부장,마기부,B,17,6000000,11440
진의시,과장,원혁만,B,8,4000000,11749
염슬복,사원,마민복,B,1,2800000,10089
진규추,인턴,오요자,B,30,2100000,10996
주성다,과장,배식남,B,9,4000000,11945
차새공,차장,전상훈,B,13,5000000,11552
육온소,차장,강슬오,B,16,5000000,11302
전황보,과장,원개백,B,10,4000000,10591
천만의,차장,방백분,B,12,5000000,11644
남예혼,과장,염솜송,B,10,4000000,11218
