반남석,과장,디자인,D,9,4000000,10508
모충철,부장,영업,E,21,6000000,10690
탁심종,과장,마케팅,C,11,4000000,10167
반항장,부장,개발,A,18,6000000,10912
설조윤,인턴,디자인,E,30,2100000,10294
여천항,부장,디자인,A,21,6000000,10490
석곤광,과장,인사,A,8,4000000,10458
조혼구,부장,영업,A,17,6000000,10033
은옥솜,사원,영업,B,2,2800000,10407
우환반,대리,디자인,A,5,3200000,10857
임시훈,인턴,재무,C,30,2100000,10266
원회월,대리,영업,B,7,3200000,10068
오천사,사원,마케팅,B,2,2800000,10784
육향주,인턴,재무,B,30,2100000,10177
진용기,사원,디자인,E,3,2800000,10313
신완로,대리,인사,A,5,3200000,10354
전아인,과장,인사,A,9,4000000,10468
하대실,부장,재무,A,19,6000000,10943
하민라,부장,인사,E,18,6000000,10637
공상예,인턴,디자인,B,30,2100000,10644
마완진,과장,재무,B,11,4000000,10722
구찬탁,과장,회계,C,11,4000000,10675
장명설,차장,디자인,A,13,5000000,10682
손한식,인턴,영업,D,30,2100000,10990
석이탁,과장,마케팅,E,9,4000000,10684
인슬린,인턴,마케팅,E,30,2100000,10497
홍길기,차장,재무,C,12,5000000,10279
현형옥,사원,재무,C,3,2800000,10332
남미랑,과장,마케팅,D,8,4000000,10948
명택송,부장,디자인,A,19,6000000,10416
민요원,차장,마케팅,B,13,5000000,10041
방해로,차장,디자인,A,13,5000000,10948
옥찬늘,부장,개발,E,17,6000000,10872
홍한의,대리,인사,E,6,3200000,10677
윤후숭,과장,마케팅,D,9,4000000,10060
송바두,사원,디자인,A,1,2800000,10201
염래란,인턴,디자인,C,30,2100000,10936
원단헌,과장,영업,B,10,4000000,10631
송린헌,사원,마케팅,E,3,2800000,10627
신직개,인턴,디자인,E,30,2100000,10583
모길엄,인턴,재무,B,30,2100000,10456
안고리,인턴,개발,B,30,2100000,10198
주유승,사원,마케팅,B,2,2800000,10895
도화유,대리,인사,D,4,3200000,10699
길마재,과장,인사,D,10,4000000,10372
마사복,대리,회계,E,7,3200000,10055
반혜고,대리,인사,B,6,3200000,10539
조철성,대리,개발,E,5,3200000,10484
방완혼,과장,디자인,C,10,4000000,10166
배덕문,대리,회계,A,5,3200000,10676
명웅면,과장,영업,C,9,4000000,10052
조형강,부장,마케팅,D,17,6000000,10176
양심회,대리,재무,D,6,3200000,10457
남향설,차장,마케팅,D,13,5000000,10741
맹직제,부장,회계,C,19,6000000,10331
홍서양,대리,회계,A,7,3200000,10507
우철고,인턴,회계,A,30,2100000,10111
심문병,과장,재무,B,10,4000000,10103
심반요,대리,개발,C,7,3200000,10232
문호복,사원,개발,B,3,2800000,10814
배상애,인턴,회계,D,30,2100000,10849
변학익,인턴,디자인,B,30,2100000,10705
나솔양,사원,인사,E,1,2800000,10574
윤다남,대리,영업,B,5,3200000,10069
노근백,사원,인사,D,3,2800000,10298
공후유,사원,디자인,A,2,2800000,10558
손일두,부장,인사,C,18,6000000,10211
노리을,대리,회계,B,7,3200000,10411
남율판,인턴,디자인,E,30,2100000,10211
은솜새,부장,인사,E,17,6000000,10664
염향우,사원,영업,B,1,2800000,10402
성원애,인턴,마케팅,B,30,2100000,10497
백숙형,인턴,영업,E,30,2100000,10162
유의일,부장,영업,C,20,6000000,10013
석회무,과장,개발,E,9,4000000,10050
주초홍,사원,재무,B,3,2800000,10698
유제빈,인턴,영업,B,30,2100000,10905
현홍초,과장,영업,D,11,4000000,10491
한지형,차장,개발,A,16,5000000,10682
권세여,차장,회계,A,15,5000000,10092
송휴부,과장,개발,A,9,4000000,10289
설준향,차장,인사,B,16,5000000,10665
하으송,과장,개발,E,9,4000000,10305
나경누,대리,개발,C,6,3200000,10841
안규수,인턴,재무,A,30,2100000,10343
연서탁,인턴,마케팅,E,30,2100000,10541
변애으,과장,개발,B,8,4000000,10349
류초판,사원,마케팅,D,1,2800000,10985
마안익,인턴,재무,A,30,2100000,10643
구을봉,사원,재무,C,1,2800000,10107
현제병,대리,마케팅,C,5,3200000,10659
기두윤,부장,마케팅,A,20,6000000,10705
맹관온,부장,디자인,B,21,6000000,10255
성정서,사원,영업,D,1,2800000,10100
한자사,부장,개발,D,18,6000000,10229
나학량,사원,영업,B,3,2800000,10099
구병모,인턴,회계,C,30,2100000,10040
현재열,인턴,개발,A,30,2100000,10380
홍온엄,대리,재무,A,7,3200000,10121
성솔홍,사원,디자인,E,2,2800000,10831
천철예,차장,개발,E,16,5000000,10587
강열가,차장,개발,C,14,5000000,10109
박영길,과장,마케팅,B,10,4000000,10607
오견주,부장,영업,A,21,6000000,10189
우택진,차장,개발,C,12,5000000,10954
류전화,인턴,영업,D,30,2100000,10839
탁세장,대리,재무,C,7,3200000,10566
옥철형,부장,마케팅,A,18,6000000,10065
문동사,사원,마케팅,E,1,2800000,10130
차배운,사원,영업,A,2,2800000,10975
현양길,과장,인사,E,11,4000000,10861
민공새,부장,개발,D,18,6000000,10630
지을병,인턴,재무,A,30,2100000,10305
홍오환,차장,마케팅,E,15,5000000,10150
왕아향,부장,회계,E,21,6000000,10308
윤환홍,부장,마케팅,E,21,6000000,10504
소늘초,대리,마케팅,A,6,3200000,10224
남량을,인턴,개발,B,30,2100000,10596
조가장,차장,영업,D,12,5000000,10384
이초부,부장,인사,C,17,6000000,10383
탁가황,대리,영업,A,4,3200000,10737
설헌주,사원,회계,D,3,2800000,10332
문충리,차장,디자인,C,15,5000000,10965
윤면휘,사원,회계,E,3,2800000,10003
서옥도,사원,영업,E,1,2800000,10842
서을신,사원,인사,C,1,2800000,10963
윤현디,과장,마케팅,B,8,4000000,10567
임모문,인턴,마케팅,A,30,2100000,10909
여타추,인턴,개발,C,30,2100000,10949
주환제,사원,개발,E,1,2800000,10496
양화민,인턴,개발,E,30,2100000,10775
나더해,사원,재무,C,2,2800000,10112
강해월,인턴,마케팅,E,30,2100000,10960
금현욱,대리,회계,E,5,3200000,10944
한여판,과장,회계,E,10,4000000,10966
방훈상,대리,개발,C,5,3200000,10454
곽용곤,대리,회계,B,4,3200000,10566
신향실,차장,개발,B,14,5000000,10490
하리은,대리,재무,C,7,3200000,10492
차식휴,차장,인사,C,16,5000000,10611
문번혜,인턴,마케팅,C,30,2100000,10605
소설옥,과장,재무,B,8,4000000,10253
설열소,과장,마케팅,B,9,4000000,10005
길마요,사원,개발,D,1,2800000,10999
우훈별,부장,디자인,B,17,6000000,10256
옥건번,과장,마케팅,D,8,4000000,10418
인욱양,대리,회계,A,5,3200000,10901
유서율,부장,재무,C,21,6000000,10511
마운일,과장,영업,E,9,4000000,10416
소으식,차장,디자인,B,12,5000000,10321
변춘슬,인턴,디자인,A,30,2100000,10370
남설태,인턴,디자인,B,30,2100000,10064
명디회,차장,인사,B,13,5000000,10454
윤한강,사원,회계,D,2,2800000,10190
인더고,사원,마케팅,E,1,2800000,10411
우예복,과장,인사,A,9,4000000,10998
남산선,과장,마케팅,A,8,4000000,10439
조석창,과장,디자인,E,8,4000000,10620
전안한,사원,인사,B,1,2800000,10878
신누찬,대리,재무,D,6,3200000,10821
엄윤후,대리,재무,C,5,3200000,10636
조조별,인턴,영업,D,30,2100000,10474
여치솜,부장,마케팅,D,21,6000000,10136
은영현,인턴,재무,A,30,2100000,10072
양로일,과장,개발,E,8,4000000,10157
